age,year,gender,country,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
60-65,2015,man,Greece,0.722459473,0.277540527,0.674879248,0.770039697,0.229960303,0.325120752
65-70,2015,man,Greece,0.611526977,0.388473023,0.561773425,0.661280529,0.338719471,0.438226575
70-75,2015,man,Greece,0.541604305,0.458395695,0.489346953,0.593861656,0.406138344,0.510653047
75-80,2015,man,Greece,0.407529574,0.592470426,0.345964598,0.46909455,0.53090545,0.654035402
80+,2015,man,Greece,0.346102007,0.653897993,0.291137027,0.401066988,0.598933012,0.708862973
50-55,2015,man,Switzerland,0.64277627,0.35722373,0.476549655,0.809002884,0.190997116,0.523450345
55-60,2015,man,Switzerland,0.644360497,0.355639503,0.587032598,0.701688396,0.298311604,0.412967402
60-65,2015,man,Switzerland,0.579479524,0.420520476,0.501595089,0.657363958,0.342636042,0.498404911
65-70,2015,man,Switzerland,0.459149894,0.540850106,0.40220439,0.516095398,0.483904602,0.59779561
70-75,2015,man,Switzerland,0.390937034,0.609062966,0.336990717,0.444883351,0.555116649,0.663009283
75-80,2015,man,Switzerland,0.338593384,0.661406616,0.267230517,0.409956252,0.590043748,0.732769483
80+,2015,man,Switzerland,0.257226069,0.742773931,0.201422004,0.313030134,0.686969866,0.798577996
50-55,2015,man,Belgium,0.605080907,0.394919093,0.518933094,0.691228721,0.308771279,0.481066906
55-60,2015,man,Belgium,0.543118818,0.456881182,0.466275652,0.619961984,0.380038016,0.533724348
60-65,2015,man,Belgium,0.410001702,0.589998298,0.364951544,0.455051861,0.544948139,0.635048456
65-70,2015,man,Belgium,0.340131038,0.659868962,0.292183728,0.388078348,0.611921652,0.707816272
70-75,2015,man,Belgium,0.294549786,0.705450214,0.241341849,0.347757723,0.652242277,0.758658151
75-80,2015,man,Belgium,0.258575901,0.741424099,0.200880503,0.316271299,0.683728701,0.799119497
80+,2015,man,Belgium,0.203971238,0.796028762,0.160258089,0.247684386,0.752315614,0.839741911
50-55,2015,man,Israel,0.794052022,0.205947978,0.595750714,0.99235333,0.00764667,0.404249286
55-60,2015,man,Israel,0.772667438,0.227332562,0.639516598,0.905818278,0.094181722,0.360483402
60-65,2015,man,Israel,0.436826428,0.563173572,0.334289062,0.539363794,0.460636206,0.665710938
65-70,2015,man,Israel,0.364104858,0.635895142,0.270664486,0.45754523,0.54245477,0.729335514
70-75,2015,man,Israel,0.262606937,0.737393063,0.164283304,0.360930569,0.639069431,0.835716696
75-80,2015,man,Israel,0.280901035,0.719098965,0.183460665,0.378341405,0.621658595,0.816539335
80+,2015,man,Israel,0.15061667,0.84938333,0.092271687,0.208961654,0.791038346,0.907728313
50-55,2015,man,Czech Republic,0.519136224,0.480863776,0.353479016,0.684793432,0.315206568,0.646520984
55-60,2015,man,Czech Republic,0.431621784,0.568378216,0.353282206,0.509961362,0.490038638,0.646717794
60-65,2015,man,Czech Republic,0.406867983,0.593132017,0.344046878,0.469689089,0.530310911,0.655953122
65-70,2015,man,Czech Republic,0.321331259,0.678668741,0.276538479,0.366124038,0.633875962,0.723461521
70-75,2015,man,Czech Republic,0.220704085,0.779295915,0.165874252,0.275533918,0.724466082,0.834125748
75-80,2015,man,Czech Republic,0.141640831,0.858359169,0.091723522,0.191558141,0.808441859,0.908276478
80+,2015,man,Czech Republic,0.176358923,0.823641077,0.092337104,0.260380741,0.739619259,0.907662896
50-55,2015,man,Poland,0.792879854,0.207120146,0.69421075,0.891548958,0.108451042,0.30578925
55-60,2015,man,Poland,0.536450645,0.463549355,0.431848232,0.641053057,0.358946943,0.568151768
60-65,2015,man,Poland,0.383029977,0.616970023,0.335692522,0.430367431,0.569632569,0.664307478
65-70,2015,man,Poland,0.28942047,0.71057953,0.201871302,0.376969638,0.623030362,0.798128698
70-75,2015,man,Poland,0.133555748,0.866444252,0.051795589,0.215315907,0.784684093,0.948204411
75-80,2015,man,Poland,0.13662205,0.86337795,0.098310355,0.174933745,0.825066255,0.901689645
80+,2015,man,Poland,0.178106722,0.821893278,0.101941864,0.25427158,0.74572842,0.898058136
