age,year,gender,country,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
70-75,2015,man,Austria,0.13060559,0.86939441,0.086827598,0.174383582,0.825616418,0.913172402
75-80,2015,man,Austria,0.106844763,0.893155237,0.067789175,0.14590035,0.85409965,0.932210825
80+,2015,man,Austria,0.286740244,0.713259756,0.212312003,0.361168486,0.638831514,0.787687997
50-55,2015,man,Germany,0.049655995,0.950344005,0.0206887,0.07862329,0.92137671,0.9793113
55-60,2015,man,Germany,0.060195023,0.939804977,0.031131788,0.089258258,0.910741742,0.968868212
60-65,2015,man,Germany,0.08206319,0.91793681,0.051243609,0.11288277,0.88711723,0.948756391
65-70,2015,man,Germany,0.093232826,0.906767174,0.061331388,0.125134264,0.874865736,0.938668612
70-75,2015,man,Germany,0.135586444,0.864413556,0.09503928,0.176133607,0.823866393,0.90496072
75-80,2015,man,Germany,0.143294172,0.856705828,0.098489458,0.188098886,0.811901114,0.901510542
80+,2015,man,Germany,0.286526434,0.713473566,0.220429976,0.352622891,0.647377109,0.779570024
50-55,2015,man,Sweden,0.063678983,0.936321017,0.053300458,0.074057508,0.925942492,0.946699542
55-60,2015,man,Sweden,0.037784858,0.962215142,-0.001997369,0.077567086,0.922432914,1.001997369
60-65,2015,man,Sweden,0.046061275,0.953938725,0.014468488,0.077654062,0.922345938,0.985531512
65-70,2015,man,Sweden,0.071333591,0.928666409,0.04527358,0.097393602,0.902606398,0.95472642
70-75,2015,man,Sweden,0.089522837,0.910477163,0.055788222,0.123257451,0.876742549,0.944211778
75-80,2015,man,Sweden,0.122941987,0.877058013,0.082106593,0.16377738,0.83622262,0.917893407
80+,2015,man,Sweden,0.178908181,0.821091819,0.134435402,0.223380961,0.776619039,0.865564598
50-55,2015,man,Spain,0.002633019,0.997366981,-0.001185161,0.006451199,0.993548801,1.001185161
55-60,2015,man,Spain,0.029000084,0.970999916,-0.009125166,0.067125335,0.932874665,1.009125166
60-65,2015,man,Spain,0.078672785,0.921327215,0.035078207,0.122267364,0.877732636,0.964921793
65-70,2015,man,Spain,0.057398862,0.942601138,0.025145017,0.089652707,0.910347293,0.974854983
70-75,2015,man,Spain,0.114560044,0.885439956,0.06022051,0.168899578,0.831100422,0.93977949
75-80,2015,man,Spain,0.119048747,0.880951253,0.07650997,0.161587524,0.838412476,0.92349003
80+,2015,man,Spain,0.287479651,0.712520349,0.227216806,0.347742496,0.652257504,0.772783194
50-55,2015,man,Italy,0.02149437,0.97850563,0.000755117,0.042233623,0.957766377,0.999244883
55-60,2015,man,Italy,0.035404248,0.964595752,0.010331635,0.060476861,0.939523139,0.989668365
60-65,2015,man,Italy,0.058853093,0.941146907,0.033921799,0.083784388,0.916215612,0.966078201
65-70,2015,man,Italy,0.057838968,0.942161032,0.035253923,0.080424013,0.919575987,0.964746077
70-75,2015,man,Italy,0.058102758,0.941897242,0.031713184,0.084492332,0.915507668,0.968286816
75-80,2015,man,Italy,0.143273165,0.856726835,0.099871619,0.18667471,0.81332529,0.900128381
80+,2015,man,Italy,0.271380538,0.728619462,0.21397794,0.328783137,0.671216863,0.78602206
50-55,2015,man,France,0.086066138,0.913933862,0.043708275,0.128424001,0.871575999,0.956291725
55-60,2015,man,France,0.068165753,0.931834247,0.030558501,0.105773005,0.894226995,0.969441499
60-65,2015,man,France,0.060244181,0.939755819,0.035511448,0.084976914,0.915023086,0.964488552
65-70,2015,man,France,0.093540806,0.906459194,0.064383425,0.122698187,0.877301813,0.935616575
70-75,2015,man,France,0.163611493,0.836388507,0.103450361,0.223772624,0.776227376,0.896549639
75-80,2015,man,France,0.180760878,0.819239122,0.133891822,0.227629934,0.772370066,0.866108178
80+,2015,man,France,0.372691643,0.627308357,0.305230469,0.440152816,0.559847184,0.694769531
