age,country,year,sex,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
60-65,Croatia,2014,man,0.0682,0.9318,0.0310,0.1053,0.8947,0.9690
65-70,Croatia,2014,man,0.0669,0.9331,0.0281,0.1057,0.8943,0.9719
70-75,Croatia,2014,man,0.1343,0.8657,0.0746,0.1940,0.8060,0.9254
75-80,Croatia,2014,man,0.0963,0.9037,0.0474,0.1451,0.8549,0.9526
80-85,Croatia,2014,man,0.1543,0.8457,0.0432,0.2654,0.7346,0.9568
85-90,Croatia,2014,man,0.3695,0.6305,0.1789,0.5602,0.4398,0.8211
90+,Croatia,2014,man,0.4433,0.5567,0.0214,0.8653,0.1347,0.9786
50-55,Austria,2014,woman,0.0169,0.9831,-0.0161,0.0500,0.9500,1.0161
55-60,Austria,2014,woman,0.0535,0.9465,0.0222,0.0847,0.9153,0.9778
60-65,Austria,2014,woman,0.0430,0.9570,0.0143,0.0717,0.9283,0.9857
65-70,Austria,2014,woman,0.0391,0.9609,0.0171,0.0610,0.9390,0.9829
70-75,Austria,2014,woman,0.0916,0.9084,0.0574,0.1259,0.8741,0.9426
75-80,Austria,2014,woman,0.1501,0.8499,0.1075,0.1926,0.8074,0.8925
80-85,Austria,2014,woman,0.3602,0.6398,0.2747,0.4456,0.5544,0.7253
85-90,Austria,2014,woman,0.3969,0.6031,0.2994,0.4944,0.5056,0.7006
90+,Austria,2014,woman,0.5869,0.4131,0.4571,0.7167,0.2833,0.5429
50-55,Germany,2014,woman,0.0440,0.9560,0.0197,0.0683,0.9317,0.9803
55-60,Germany,2014,woman,0.0859,0.9141,0.0515,0.1203,0.8797,0.9485
60-65,Germany,2014,woman,0.0501,0.9499,0.0297,0.0705,0.9295,0.9703
65-70,Germany,2014,woman,0.0967,0.9033,0.0617,0.1317,0.8683,0.9383
70-75,Germany,2014,woman,0.1307,0.8693,0.0896,0.1718,0.8282,0.9104
75-80,Germany,2014,woman,0.1714,0.8286,0.1154,0.2274,0.7726,0.8846
80-85,Germany,2014,woman,0.2688,0.7312,0.1877,0.3499,0.6501,0.8123
85-90,Germany,2014,woman,0.3432,0.6568,0.2220,0.4645,0.5355,0.7780
90+,Germany,2014,woman,0.7758,0.2242,0.6015,0.9501,0.0499,0.3985
50-55,Sweden,2014,woman,0.0150,0.9850,-0.0033,0.0334,0.9666,1.0033
55-60,Sweden,2014,woman,0.0718,0.9282,0.0340,0.1096,0.8904,0.9660
60-65,Sweden,2014,woman,0.0754,0.9246,0.0410,0.1099,0.8901,0.9590
65-70,Sweden,2014,woman,0.0749,0.9251,0.0497,0.1000,0.9000,0.9503
70-75,Sweden,2014,woman,0.0706,0.9294,0.0427,0.0985,0.9015,0.9573
75-80,Sweden,2014,woman,0.1070,0.8930,0.0669,0.1470,0.8530,0.9331
80-85,Sweden,2014,woman,0.1345,0.8655,0.0761,0.1928,0.8072,0.9239
85-90,Sweden,2014,woman,0.2560,0.7440,0.1687,0.3433,0.6567,0.8313
90+,Sweden,2014,woman,0.3310,0.6690,0.2044,0.4577,0.5423,0.7956
50-55,Spain,2014,woman,0.0055,0.9945,-0.0013,0.0124,0.9876,1.0013
