"Age","Country","Mortality","Chronic","Mortality.l","Mortality.u","Chronic.l","Chronic.u"
70,"Czech Republic",0.152684527268796,-0.129210944974387,0.204045755778862,0.101323298780123,-0.198571999675034,-0.0598498902737372
75,"Czech Republic",0.101649361036814,0.0814322707693691,0.141716629405727,0.0615820926995747,0.0621563920342449,0.100708142807261
80,"Czech Republic",0.106719943776766,-0.256699981846967,0.151947703547563,0.06149218408423,-0.441833966072566,-0.0715659885199296
60,"Poland",0.201781333303152,-0.312209155356529,0.267951422867307,0.135611243553573,-0.291926776393324,-0.332491534319729
65,"Poland",0.162630569458253,-0.0870895720119949,0.225691261903481,0.0995698769430002,0.0703660113500941,-0.244545155374058
70,"Poland",0.120671307253983,0.00213882478618643,0.168913624596712,0.072428989819854,-0.256559336863665,0.260836986436019
75,"Poland",0.101576529920878,-0.293000839076003,0.143865006213235,0.0592880533794689,-0.311761752676133,-0.274239922217209
80,"Poland",0.115183952976092,-0.423464830177092,0.163586024331928,0.0667818811116376,-0.612467219395795,-0.234462445667411
60,"Luxembourg",0.13999154921238,-0.412645712959844,0.176660925039906,0.103322173107759,-0.438345547736043,-0.386945883082743
65,"Luxembourg",0.121202417748168,-0.711055067328799,0.155295278298365,0.0871095569235347,-0.748931179850155,-0.673178950149832
70,"Luxembourg",0.126406859689186,0.0756559470977969,0.163405535161274,0.0894081838245304,0.156669151897592,-0.00535725770198336
75,"Luxembourg",0.124118552101058,-0.0453886283457123,0.154898252641662,0.0933388510217732,-0.124457281045206,0.0336800205828398
80,"Luxembourg",0.184047308074926,-0.0204672746490688,0.218268389143951,0.149826226110291,-0.321610341278021,0.280675791979878
60,"Portugal",0.197439680395277,-1.23643106881767,0.283106138503006,0.111773221929411,-1.02387206728439,-1.44899007035097
65,"Portugal",0.167816775204868,-0.464513827689292,0.254604641822882,0.0810289081538471,-0.608299659360636,-0.32072800068434
70,"Portugal",0.13962606104055,-0.74375224230747,0.226119074436944,0.05313304717443,-0.939124059630005,-0.548380429309442
75,"Portugal",0.104763666200973,-0.738928890247095,0.180151843727192,0.0293754880935846,-1.1831796583258,-0.294678122168376
80,"Portugal",0.138498716339789,0.0700648267168162,0.243292889640545,0.0337045418996111,0.177017213600809,-0.0368875601671825
60,"Slovenia",0.30529225687096,0.348657947283346,0.350766775531326,0.259817738460023,0.325422413461862,0.371893481104845
65,"Slovenia",0.290625860392678,0.127891364361615,0.340184643586122,0.241067077414964,0.115072460828289,0.140710267894946
70,"Slovenia",0.262489237160583,-0.395304137325487,0.312755596888238,0.212222877483262,-0.393767901459412,-0.396840377371031
75,"Slovenia",0.22155658420764,-0.130604236559565,0.266307393103759,0.176805775274457,-0.195197018417506,-0.0660114475148514
80,"Slovenia",0.289694342805594,-0.276740159199619,0.348343479092314,0.231045206407125,-0.361801901883762,-0.191678427643826
60,"Estonia",0.305446447679506,-0.334545345976581,0.341894510976776,0.268998384623184,-0.164713865485101,-0.504376826468062
65,"Estonia",0.263585418548553,-0.015380921806921,0.295219671005899,0.231951166303501,-0.0144751870382631,-0.01628665216532
70,"Estonia",0.210575376675088,-0.153309456377877,0.23463198485415,0.186518768772456,-0.142799660396975,-0.163819256236283
75,"Estonia",0.141965791798408,-0.287972738476284,0.161997080498658,0.121934503317294,-0.325936749821807,-0.250008727130781
80,"Estonia",0.108468462790468,-0.0654829181224414,0.127799812691121,0.0891371128898255,-0.212456265408584,0.0814904291637317
60,"Croatia",0.438561795951639,-0.40234670191024,0.522719498036103,0.354404093854004,-0.40203584014939,-0.402657563671116
65,"Croatia",0.39761671624083,-0.0471479849010183,0.485959806478974,0.309273625984982,-0.0921368822481359,-0.00215908755389727
70,"Croatia",0.337284371394666,-0.0531409006623882,0.425553527458899,0.249015215198074,-0.0813799911201532,-0.02490181411736
75,"Croatia",0.257256623421355,-0.526952026102604,0.32942814368036,0.185085102872017,-0.552922231658197,-0.500981820547016
80,"Croatia",0.204663700092345,-0.688083991084561,0.259022863477147,0.150304536396424,-0.864718220882517,-0.511449765203318
60,"Europe",0.260443819535684,-0.325492670722746,0.282522287476398,0.238365351627201,-0.332358729508988,-0.318626611936481
65,"Europe",0.195741436929449,-0.353753936500982,0.215083743228882,0.176399130597581,-0.358692899676949,-0.348814968847677
70,"Europe",0.139988968062768,-0.148686744829937,0.155846204424478,0.124131731584426,-0.150840114051654,-0.14653337560822
75,"Europe",0.102518845082574,-0.196906511995534,0.115074632428065,0.089963057666675,-0.183992090675908,-0.20982092992387
80,"Europe",0.128254022064806,-0.264531958894707,0.14421341862967,0.112294625499948,-0.287602188520623,-0.241461729268821
60,"Mexico",0.216768499352636,-0.758581451393024,0.248872204896735,0.184664793808545,-0.792098433355852,-0.725064469430175
65,"Mexico",0.204043953398324,-0.835259407285465,0.236958701021919,0.171129205774728,-0.896083128950416,-0.774435685620549
70,"Mexico",0.192479936030436,-0.659346529978668,0.226631187463212,0.158328684597665,-0.683692504911187,-0.63500055504614
75,"Mexico",0.182109196121401,-0.240682721072927,0.216266872283228,0.14795151995957,-0.299387166443198,-0.181978275702648
80,"Mexico",0.252228545676807,-0.518849299561881,0.299269908856331,0.205187182497278,-0.613910769209996,-0.423787829913771
60,"England",0.103167078486901,-0.409626718954801,0.115814887898951,0.0905192690748491,-0.428029938353175,-0.391223499556428
65,"England",0.104182341077875,-0.398392204875029,0.118818751719711,0.0895459304360395,-0.424858667274703,-0.371925742475336
70,"England",0.106104014275603,-0.270040944926525,0.122962357251214,0.0892456712999952,-0.295303771697752,-0.244778118155323
75,"England",0.100496845454083,-0.0625010143454583,0.117995487362808,0.0829982035453565,-0.0820543589493097,-0.0429476697416264
80,"England",0.174604003151899,-0.204994971856686,0.20653693474447,0.142671071559342,-0.244592551734124,-0.165397391979282
